﻿Nombre;Categoría;Rating;Nº Reviews;ReviewsText;Horario;Descripción;Código Plus;Direccion;Localidad;Provincia;Website;Teléfono;email;Reclamar;Latitud;Longitud;Url en Maps;Iframe;Imagen Url;id;Day N.;Saved;hash
Alugal Ventanas PVC Madrid;Carpintería metálica y de aluminio;4,7;129;"<reviews><review><user>FRANCISCA GARCIA GARCIA</user><stars>5</stars><userComment>Simplemente perfectas. Estoy contentísima con mis ventanas, la medición y el montaje muy bien. Gracias Alberto, Pedro, Jorge,…. la espera merece la pena. Adjunto fotitos para q veáis q bonitas.</userComment></review><review><user>Rocio J M</user><stars>5</stars><userComment>Encantada con mis nuevas ventanas, la diferencia de la temperatura es impresionante.
El servicio fue genial, todo bien instalado, limpio y rápido. ¡¡Gracias!! Los recomendare, pues trabajan muy bien.</userComment></review><review><user>Manuel Martinez</user><stars>5</stars><userComment>Estamos encantados con las ventanas, recomendables al 200 por ciento. Desde el primer contacto profesionales y con buenos consejos. El mejor cambio que hemos hecho en casa con mucha diferencia.</userComment></review></reviews>";"viernes, De 9:00 a 14:00, De 16:00 a 20:30; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 14:00, De 16:00 a 20:30; martes, De 9:00 a 14:00, De 16:00 a 20:30; miércoles, De 9:00 a 14:00, De 16:00 a 20:30; jueves (Corpus Christi), De 9:00 a 14:00, De 16:00 a 20:30, El horario podría cambiar";;C768+9J Madrid;C. de la Grandeza Española, 49, 28011 Madrid;Madrid;Madrid;alugalventanas.es;914 63 21 28;info@alugalventanas.es;No;40.410946;-3.733391;https://g.page/AlugalVentanas?share;;https://lh5.googleusercontent.com/p/AF1QipOAMqu9-UY8Gen4obu5oVoX0VaXveT42YA2gGIl=w630-h240-k-no;0;5;1;
Favenluc S.L;Ventana de aluminio;5,0;12;"<reviews><review><user>Alejandro Garcia</user><stars>5</stars><userComment>Hice con ellos mi nueva casa , muy profesionales y muy buena gente , desde el principio me dieron mucha seguridad , fue un placer conocerles !</userComment></review><review><user>Sara Montejo</user><stars>5</stars><userComment>Ha sido un acierto confiar en esta empresa para la realización de las ventanas de mi casa. Me aconsejaron y ayudaron desde el principio.Excelente calidad y profesionalidad.
La recomiendo sin ninguna duda.
Muchas gracias</userComment></review><review><user>Jesus Garcia Altares</user><stars>5</stars><userComment>Llame para pedir presupuesto y la verdad que encantado con el trato y con la ayuda que me echaron a elegir las ventanas de mi casa.. recomendable 100%100... volveré a llamar para la próxima ocasión</userComment></review></reviews>";"viernes, De 7:00 a 16:00; sábado, Cerrado; domingo, Cerrado; lunes, De 7:00 a 16:00; martes, De 7:00 a 16:00; miércoles, De 7:00 a 16:00; jueves (Corpus Christi), De 7:00 a 16:00, El horario podría cambiar";;8G57+QF Arganda del Rey;C. Primavera, 3, 28500 Arganda del Rey, Madrid;Arganda del Rey;Madrid;favenluc.com;918 71 97 39;info@favenluc.com;No;40.3094228;-3.4863385;https://g.page/Favenluc?share;;https://lh5.googleusercontent.com/p/AF1QipPR2e5tFg9zxtn_QwcqvmIb9-yR7sG0ANlRi3cj=w408-h289-k-no;1;5;1;
VENTANAS PVC EL MIRADOR;Servicio de instalación de ventanas;4,8;175;"<reviews><review><user>cosetelo cosetelo</user><stars>5</stars><userComment>Grandes profesionales. Serios, formales y cumplidores. Totalmente recomendables.
He montado dos miradores y un ventanal completo y ha ido todo perfecto. Desde el presupuesto inicial, cumpliendo fechas de entrega y montaje todo en el mismo día.
Perfecto.
Se encargan de gestionar las ayudas de la comunidad.</userComment></review><review><user>Gemma Vazquez Arbesu</user><stars>5</stars><userComment>Gran profesionalidad, un nivel de atención al cliente insuperable, tanto a nivel administrativo, como en asesoramiento. Un equipo de montadores excelentes.
Estamos encantados con nuestras ventanas, ahora ya pueden venir todas las filomenas del mundo que en nuestra casa no entrará el frío.
Mil gracias Elena por tu atención y asesoramiento.</userComment></review><review><user>Marisa Molina</user><stars>5</stars><userComment>Cambiamos todas las ventanas de la casa  y estamos muy contentos . La calidad – precio de las ventanas es óptima_ hemos notado muchísimo la diferencia tanto a nivel de ahorro energético como de ruido (vivimos en un 2º con mucho tráfico y antes teníamos ventanas con cajas de persiana antiguas por donde nos entraba aire y ruido).
Destacaría el buen conocimiento del producto que venden, dando las mejores  soluciones para cada tipo de habitación.
Mención especial a administración por su agilidad de respuesta  y también a los instaladores que realizaron un gran y duro  trabajo en muy poco tiempo, un día y medio. En general muy bien todos, mi enhorabuena a todo el equipo</userComment></review></reviews>";"viernes, De 10:00 a 15:00, De 16:00 a 19:00; sábado, Cerrado; domingo, Cerrado; lunes, De 10:00 a 15:00, De 16:00 a 19:00; martes, De 10:00 a 15:00, De 16:00 a 19:00; miércoles, De 10:00 a 15:00, De 16:00 a 19:00; jueves (Corpus Christi), De 10:00 a 15:00, De 16:00 a 19:00, El horario podría cambiar";;C8H4+MH Madrid;Calle de Zurbano, 26, 28010 Madrid;Madrid;Madrid;elmiradorpvc.com;695 19 37 93;info@elmiradorpvc.com;No;40.429218;-3.69355;https://g.page/ventanas-el-mirador-madrid?share;;https://lh5.googleusercontent.com/p/AF1QipPTshVO_kaFF467ej5myaWnPKO9Wv3Oj4BULp4e=w426-h240-k-no;2;5;1;
VENMARTÍN Ventanas PVC Madrid;Servicio de instalación de ventanas;4,8;99;"<reviews><review><user>Fernando de la Torre Fernandez de Moya</user><stars>5</stars><userComment>Se nota cuando alguien sabe lo que hace y lo hace con cariño. Desde el primer momento cuando les pedí presupuesto mostraron interés en hacer las cosas lo mejor posible y me asesoraron muy acertadamente sobre dudas que tenía y opciones que yo no me había planteado. Las ventanas quedaron de 10, un trabajo limpio y fino que ha cumplido de largo mis expectativas. En todo momento el trato de Sergio y Raquel ha sido muy personalizado y profesional. Sin duda repetiré con ellos y no puedo dejar de recomendarlos.</userComment></review><review><user>Javier Martin</user><stars>5</stars><userComment>Muy buenos. Sergio sabe de lo que habla en todo momento, Raquel te ayuda todo el rato y al final, a la hora de trabajar su equipo es muy profesional y los remates son muy buenos.

En resumen, la pregunta cuando encargas un trabajo es ¿lo harías de nuevo con esta empresa? y la respuesta es Sí.

Los recomendarías?, Sin duda. Son muy buenos.</userComment></review><review><user>raquel Pascual</user><stars>5</stars><userComment>Increíble trabajo. Recomendables al 100%.
No pongo mas estrellas porque no se puede. Mostraron interés desde el primer día que pedí el presupuesto. Cumplen los plazos acordados. Equipo muy profesional.
Los chicos que realizaron la instalación son muy resolutivos y limpios. Gran trabajo.</userComment></review></reviews>";"viernes, De 9:00 a 13:30; sábado, Cerrado; domingo, Cerrado; lunes, De 9:00 a 13:30; martes, De 9:00 a 13:30; miércoles, De 9:00 a 13:30; jueves (Corpus Christi), De 9:00 a 13:30, El horario podría cambiar";;C8HH+FG Madrid;Calle de Don Ramón de la Cruz, 107, 28006 Madrid;Madrid;Madrid;venmartin.com;913 56 82 57;-;No;40.4286819;-3.6711495;https://g.page/Venmartin?share;;https://lh5.googleusercontent.com/p/AF1QipOvd8vHoAZv2iE0MhwSGIoFKTH5VEwW2MclV_fA=w427-h240-k-no;3;5;1;
Alugal Ventanas PVC Madrid;Carpintería metálica y de aluminio;4,9;15;<reviews><review><user>Carlos Sevilla</user><stars>5</stars><userComment>Muy, muy contento con el resultado. Me han aconsejado muy bien, tanto por teléfono como en casa, ha cumplido la fecha que me dijeron y el montaje ha sido mucho mejor y con menos molestias de las que pensaba. Ahora entiendo porque tienen lista de espera y volvería a esperar sin dudarlo. Si estáis pensando en cambiar ventanas, no miréis otros, los recomiendo totalmente.</userComment></review><review><user>Juan carlos Lopez</user><stars>5</stars><userComment>Me he sentido aconsejado por personas amables y preocupadas por lo que realmente necesito. Al principio dudaba porque incluso me aconsejaron ciertas cosas que me ahorraban dinero pero la obra ha ido muy bien y las ventanas se nota que tiene muy buen empaque y se esta mucho mas agusto en la casa. Recomiendo ademas de comprarles a ellos las ventanas escuchar sus consejos, merece la pena. Compare con otros 3 y encantado de haberlo elegido, por todo. Recomiendo a esta empresa familiar</userComment></review><review><user>Tere Sabina</user><stars>5</stars><userComment>He cambiado hace poco las ventanas con ellos y estoy encantada, las ventanas son increíbles y el trato muy profesional y amable. Alberto, Oscar, Ángel, Miguel y el resto de personas con las que he tratado, se nota que os gusta vuestro trabajo, felicidades! Seguid así, os recomiendo al 100%</userComment></review></reviews>;"viernes, De 9:00 a 14:00, De 16:00 a 20:30; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 14:00, De 16:00 a 20:30; martes, De 9:00 a 14:00, De 16:00 a 20:30; miércoles, De 9:00 a 14:00, De 16:00 a 20:30; jueves (Corpus Christi), De 9:00 a 14:00, De 16:00 a 20:30, El horario podría cambiar";;86X3+4P Leganés;C. del Trueno, 56, 28918 Leganés, Madrid;Leganés;Madrid;alugalventanas.es;914 63 21 28;info@alugalventanas.es;No;40.3477933;-3.7956406;https://g.page/AlugalVentanasPVC?share;;https://lh5.googleusercontent.com/p/AF1QipN8-KBQovQkyPma_M7RipkPRSFDQd9DCsvdoqV8=w408-h272-k-no;4;5;1;
VENTANAS PVC-AYG;Servicio de instalación de ventanas;4,4;20;<reviews><review><user>Oliver rodriguez</user><stars>5</stars><userComment>Nos han instalado una ventana . Profesionalidad, seriedad y agilidad en el trabajo. Muy recomendables.</userComment></review><review><user>Pablo Balzola</user><stars>5</stars><userComment>Instalé las ventanas de mi casa con ellos hace unos años y la diferencia es increíble. Se nota mucho la temperatura en casa y sobre todo el ruido. Les llamé hace poco para que vinieran porque se me rompió la persiana de una puerta y me atendieron también estupendamente. Muy recomendables!</userComment></review><review><user>Antonio Espinoza</user><stars>5</stars><userComment>Pedí presupuesto por recomendación de un amigo que hizo reformas y montó las ventanas con ellos. Excelente trato, trato profesional y los resultados son de calidad.</userComment></review></reviews>;"viernes, De 8:00 a 19:00; sábado, Cerrado; domingo, Cerrado; lunes, De 8:00 a 19:00; martes, De 8:00 a 19:00; miércoles, De 8:00 a 19:00; jueves (Corpus Christi), De 8:00 a 19:00, El horario podría cambiar";;85QQ+88 Alcorcón;C. los Pintores, nº24, 28923 Alcorcón, Madrid;Alcorcón;Madrid;ventanaspvc-ayg.es;916 10 00 89;debut_dark_@2X.png;Sí;40.3383351;-3.8116803;https://goo.gl/maps/ayDEmnQ8zDxBF3Dz9;;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wow_EhspkHxuHOSigJg0aQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.1635&pitch=0&thumbfov=100;5;5;1;
Tu Ventana Madrid;Servicio de instalación de ventanas;4,8;65;"<reviews><review><user>Santiago López</user><stars>5</stars><userComment>Hace poco me instalaron dos puertas y una ventana y desde el primer día que hable con ellos, la seriedad y la profesionalidad fue lo que más me gustó y sorprendido gratamente por su calidad-precio. Después conocí a los instaladores, profesionales donde los haya, a nivel personal, un trato excepcional. Mucho mimo y detalle en los trabajos, mucho cuidado en dejarlo todo perfecto y limpio, ya que era retirar las puertas y ventana antiguas, hasta barrieron lo poco que hubiera caído en el portal. Cuando se fueron quedó impoluto y algo que me gustó que Eduardo paso por mi casa para ver el trabajo terminado y ver si nosotros estábamos contentos con los trabajos realizados. Tengo que agradecer que ahora mi casa está insonorizada, con una calidad queda la marca Kömmerling.
Muchas gracias al equipo de Juan que fueron los instaladores que estuvieron en nuestra casa.
Ya saben que dentro de poco vendrán para la segunda fase... :-)

Llegó la segunda fase, tres ventanas y dos mosquiteras, una de ventana y otra de puerta doble. Como siempre, perfecto, de 10. El tratamiento profesional y el personal fueron excelentes, además que lo dejan todo limpio, enmascaran todo para no manchar o lo menos posible y cuidan de no dañar nada, pero sobre todo la instalación y el funcionamiento posterior no tienen pega ninguna.
Aconsejaría sus servicios a cualquiera que quiera tener calidad y buen servicio, al mejor precio, a parte de la calidad Kömmerling.</userComment></review><review><user>PROCURADOR Rodríguez Bonilla, Oscar</user><stars>5</stars><userComment>No tengo palabras para valorar la profesionalidad, asesoramiento, relación calidad-precio y satisfacción con resultado obtenido en la instalación de todas las ventanas y puertas exteriores que se me ha realizado desde esta empresa.
Sin duda, tras la reforma integral de toda mi casa y despacho profesional, es con lo que más contento he quedado.
Una profesionalidad exquisita la de  Eduardo y su equipo que con unas recomendaciones inmejorables han hecho que haya quedado todo superior.
Minuciosos en su trabajo, no han dejado escapar ni un detalle. Esto junto con la calidad del producto que ponen hace que falten estrellas para valorar. No les pondría cinco, les pondría cinco mil.
Gracias Eduardo.</userComment></review><review><user>Carlos Alia</user><stars>5</stars><userComment>Totalmente recomendables!!

No teníamos referencia de ellos y nos animamos a pedir presupuesto por los buenos comentarios que vimos publicados y no nos hemos equivocado. Estamos muy satisfechos de todo el proceso de cambio del mirador de nuestro salón.

-Excelente asesoramiento por parte de Eduardo en buscar la mejor solución en base a nuestras necesidades (problemas con aislamiento de frio), decantándonos por un sistema de PVC Kommerling 76 triple vidrio.

-Muy buena instalación y gran profesionalidad por parte de Juan y su equipo de instaladores: cuidadosos y limpios desempeñando su trabajo.

Sin dudarlo volveremos a contactar con ellos en el futuro.</userComment></review></reviews>";"viernes, De 9:00 a 14:00; sábado, Cerrado; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:00 a 20:00; martes, De 9:00 a 14:00, De 17:00 a 20:00; miércoles, De 9:00 a 14:00, De 17:00 a 20:00; jueves (Corpus Christi), De 9:00 a 14:00, De 17:00 a 20:00, El horario podría cambiar";;C84J+RP Madrid;Avda. Del Mediterráneo, calle, 49, Local Puerta, 28007 Madrid;Madrid;Madrid;silmaplastmadrid.es;910 46 06 96;info@silmaplastmadrid.es;No;40.4070157;-3.6682045;https://g.page/tuventanamadrid?share;;https://lh5.googleusercontent.com/p/AF1QipMFXMNo3x3kpnKpAYAfSNQo0Ka-qj82w0z2Hd8h=w408-h317-k-no;6;5;1;
Cristalería Alcorcón, cerrajería aluminio y PVC;Servicio de instalación de ventanas;4,1;22;"<reviews><review><user>Matias Lionel Nardi Couceiro</user><stars>1</stars><userComment>Acabo detener la mala suerte de cruzarme con uno de sus empleados que conducía una furgoneta blanca en Torrelodones, el cual a pesar de la lluvia, excedía el límite de velocidad permitido y me pego la furgoneta a mi coche en el que iba con toda mi familia. He llamado para avisar que la próxima vez que me lo cruce, lo denunciaré a la guardia civil. Es lamentable que tengan a un mamarracho semejante conduciendo de esa forma.</userComment></review><review><user>FRANCISCO SANCHEZ GARCIA</user><stars>1</stars><userComment>Se desentiende de la garantía y servicio post-venta en cuanto cobran. Les tienes que suplicar.</userComment></review><review><user>Alex Moreno Rodríguez</user><stars>5</stars><userComment>Son unos profesionales , me han cambiado todas las ventanas y el cerramiento de terraza enseguida, muy limpios y comparados con los demás presupuestos son los más económicos dentro de las calidades que pedí, he quedado contentísimo .
Los recomiendo totalmente .</userComment></review></reviews>";"viernes, De 7:30 a 14:00; sábado, Cerrado; domingo, Cerrado; lunes, De 7:30 a 19:00; martes, De 7:30 a 19:00; miércoles, De 7:30 a 19:00; jueves (Corpus Christi), De 7:30 a 19:00, El horario podría cambiar";;85QM+2J Alcorcón;Pol. Ind. Urtinsa II, C. Minas, 12, 28923 Alcorcón, Madrid;Alcorcón;Madrid;cristaleriaalcorcon.com;916 43 24 80;fabrica@cristaleriaalcorcon.com;No;40.3376185;-3.8159059;https://goo.gl/maps/obRZVAAwn6iQibkE6;;https://lh5.googleusercontent.com/p/AF1QipN3cwkyN_zs-7A42_rbhjMMEap_lKADEamcWjee=w408-h470-k-no;7;5;1;
JEOVENT, S.L.;Carpintería metálica y de aluminio;5,0;23;"<reviews><review><user>Florin Cristinel Marcu</user><stars>5</stars><userComment>Profesionales buena calidad después de buscar mucho sinceramente con esta empresa materiales de mucha calidad si digo calidad es calidad nada que ver con lo que venden por allí te aconsejan muy bien gente preparada muy contento !</userComment></review><review><user>Julia E</user><stars>5</stars><userComment>Después de buscar mucho, y practicamente hacer un master en ventanas, nos decidimos por ellos y fue un acierto. El trato al cliente es muy bueno, Carmen es un encanto y te asesora en todo momento. Cumplieron los plazos de entrega y los montadores además de amables son muy profesionales, se nota que llevan años en el sector. Relación calidad precio excepcional.
Estoy encantada con mis ventanas, sin duda repetiría.</userComment></review><review><user>Mario Petre Savulescu</user><stars>5</stars><userComment>Muy buena experiencia. Ventanas de buena calidad  con certificación de passivhaus.Trato muy profesional</userComment></review></reviews>";"viernes, De 8:00 a 18:00; sábado, Cerrado; domingo, Cerrado; lunes, De 8:00 a 18:00; martes, De 8:00 a 18:00; miércoles, De 8:00 a 18:00; jueves (Corpus Christi), De 8:00 a 18:00, El horario podría cambiar";;85XX+8M Leganés;Av. los Castillos, 1034, 28918 Leganés, Madrid;Leganés;Madrid;jeovent.com;914 28 56 31;presupuestos@jeovent.com;No;40.3482827;-3.8009051;https://g.page/JEOVENT?share;;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FBtFT4K-w_hxxLebIvv7Yw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=48.06272&pitch=0&thumbfov=100;8;5;1;
Afandecor - Fábrica de ventanas aluminio y PVC;Proveedor de ventanas;4,1;65;"<reviews><review><user>Gastromántica</user><stars>5</stars><userComment>Excelente servicio y resultado. Desde el minuto uno la atención fue estupenda y el resultado es magnífico. Todo lo resuelven de manera muy rápida y satisfactoria. Con todos los departamentos que hemos hablado desde comercial hasta posventa, la atención ha sido más que satisfactoria.
Nos cambiaron las ventanas e instalaron un ventanal enorme en el salón que ha quedado espectacular. Los recomendamos sin duda!</userComment></review><review><user>Smartbits Business IT Solutions</user><stars>5</stars><userComment>Servicio impecable. Hubo un pequeño retraso provocado por un retraso en materiales de los distintos fabricantes pero me explicaron en todo momento la situación y no hubo ningún problema. Gran trabajo, muy satisfechos</userComment></review><review><user>Pablo Puig</user><stars>5</stars><userComment>Hace unos años contacté con Afandecor para que instalara unas ventanas en mis balcones.
Hace unos meses decidí cambiar las de toda la vivienda y no dudé ni un instante en ponerme en contacto con ellos de nuevo.
Son profesionales, serios y eficientes. El presupuesto fue muy razonable.
Hubo un pequeño retraso en la entrega de los materiales (ajeno a la empresa ) pero los instaladores me mantuvieron informado en todo momento.
Recomendable al cien por cien.</userComment></review></reviews>";"viernes, De 9:00 a 14:00, De 16:00 a 20:00; sábado, Cerrado; domingo, Cerrado; lunes, De 9:00 a 14:00, De 16:00 a 20:00; martes, De 9:00 a 14:00, De 16:00 a 20:00; miércoles, De 9:00 a 14:00, De 16:00 a 20:00; jueves (Corpus Christi), De 9:00 a 14:00, De 16:00 a 20:00, El horario podría cambiar";;C8VH+3W Madrid;C. Clara del Rey, 39, 28002 Madrid;Madrid;Madrid;afandecor.es;916 44 84 34;info@afandecor.es;No;40.4426553;-3.6701776;https://goo.gl/maps/MWjkctGjSpWS2ak67;;https://lh5.googleusercontent.com/p/AF1QipMu-wOM7dlDsEbOT_vHdqPfumXfXnuJyrUb2I9M=w408-h272-k-no;9;5;1;
